Ref,Building,Title,TTW Job Nos,Category,Year Constructed,Year (AGB),Year,Age Risk Rating,Structural Engineer,Structural Drawings,Storeys,Structural Framing System,LLRS,Typology Risk,Priority Rating,Asset Priority Rating,Structural Seismic Risk Level,Geotechnical Report,Ground Conditions,Facade Typology,Facade Safety Risk,Facade Risk Identification,Address,Co-ordinates,Latitude,Longitude,Notes,Link,,Facade Observations,Status,UNSW PM
D16,Goldstein Hall,Goldstein Hall (D16),101318,Building,N/A,,1971,5,,,,PRECAST/MASONRY HYBRID,,3,15,HIGH,,,,Precast concrete,High,Potential failures identified and require rectification,,,,,,,,Balcony staining/corrosion (W) - investigate drainage,,
D17,Basser College,,,,,,2012,1,,,,RC FRAME / PT FLOORS,,1,1,,,,,Brick / Precast,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,"Staining brick/precast, concrete plugs to be checked",,
D18,Phillip Baxter College,Phillip Baxter College (D18),,Building,N/A,,2012,1,,,,RC FRAME / PT FLOORS,,1,1,,,,,Brick / Precast,High,Potential failures identified and require rectification,,,,,,,,"Cracking concrete (NE corner), Failed window seal (S)",,
D2,NIDA,NIDA (D02),681163 & 79186,Building,1968 & 1979,,1979,5,TTW,TTW,,RC/STEELWORK,,3,15,HIGH,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,Brick mortar and joint repairs (N),,
D23,Mathews Theatres,Mathews Theatres,,Theatre,N/A,,1971,5,,,,RC LARGE SPAN,,3,15,HIGH,,,,Brick / Precast,High,Potential failures identified and require rectification,,,,,,,,Cladding around duct to be repaired (E) ,,
D26,Biological Sciences North,Biological Sciences North (D26),"65169 & 141405
081581
101787
161415
161414
121809",Building,"1965, 1971",,2018,1,TTW / MORRISON & LITTLE,TTW,7,STEELWORK/RC - UPGRADED 2018,,1,1,,,N/A,,Curtain Wall / Cladding Panels,Low,No issues identified,,,,,,,,,,
D8,Esme Timbery Creative Studio,,,,,,2019,1,,,,RC FRAME,,1,1,,,,,Concrete / glass / timber,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Spalling concrete (SE),,
E02,NIDA Parade Theatre,,,,,,2002,1,,,,RC FRAME/STEEL,,1,1,,,,,Pebblecrete / Glass,Low,No issues identified,,,,,,,,,,
E04,Squarehouse,Squarehouse (E04),"90069
89295",Building,1993,,1968,5,,1 to 13,,RC FRAME / SINGLE REINF WALLS,,3,15,HIGH,,N/A,,Brick,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Debris on canopy (S),,
E06,Roundhouse,Roundhouse (E06),,Building,N/A,,1971,5,PUBLIC WORKS DEPT,162 - 299,,STEEL/ RC,,3,15,HIGH,,N/A,,,High,Potential failures identified and require rectification,,,,,,,,Concrete canopy crack (SE),,
E08,Science and Engineering Building,Material Sciences (E08),,Building,1952,,1952,5,CONCRETE INDUSTRIES,1 to 10,,CONCRETE,,2,10,MEDIUM,,N/A,,Curtain wall ,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Base stonework opening up,,
E08,Science and Engineering Building,,,,,,2019,1,TTW,TTW,,RC FRAME,,1,1,,,,,,,#N/A,,,,,,,,,,
E10,Hilmer Building,Hilmer Building,111144,Building,2011,,2011,1,TTW,S001-S1701,,CONCRETE & PT,,1,1,,,N/A,,Precast / Curtain wall,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Concrete plugs may become an issue. Base stonework opening up,,
E12,UNSW Business School,,,Building,,1962,1962,3,,,7,CONCRETE,,3,9,MEDIUM,,N/A,,Cladding panels/glass/louvres,High,Potential failures identified and require rectification,,,,,,,,Steel canopy corrosion (S),Proposal for Fa?ade Audit issued 13/3/24,Den Walker
E13,UNSW Business School Refurb,,041131 B,,2004,,2004,NA,TTW,010-01 - 260-02,,,,,#VALUE!,,,,,,,#N/A,,,,,,,,,,
E15,Quadrangle,Quadrangle (E15),"90297, 171554
171212
171083
171012
161513
111428
041565",Building,1990,1993,1993,3,TTW,"F1- 15, S1-S78",,CONCRETE,,2,6,LOW,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Render spalling (loading dock/E/S/W), brick cracks, repair soffit ",,
E19,Patricia O'Shane / Central Lecture Block,Central Lecture Block (E19),,Building,1964,1965,1965,5,WOOLOACOTTS (WCE),1E - 7E,3,CONCRETE & STEELWORK,,3,15,HIGH,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Concrete spalling (bridge), Dampness around base (maintenance), Balustrade corrosion (W), Vent corrosion, Steel canopy corrosion (S) ",,
E21,Library - Lower (Menzies),Library,78036,Building,1964,1965,1965,5,WOOLACOTTS (WCE),1E - 7E,,CONCRETE & STEELWORK,,2,10,MEDIUM,,N/A,,,,#N/A,,,,,,,,,,
E24,Matthews Pavilions / Arcade,Pavilions (E24),,Building,N/A,,1993,3,,,,CONCRETE & STEELWORK,,2,6,LOW,,,,Glass,High,Potential failures identified and require rectification,,,,,,,,"Corroded gutter, leaking internally",,
E25,Biolink Building,,,,,,1971,5,,,,RC Frame/Precast,,3,15,HIGH,,,,Precast,High,Potential failures identified and require rectification,,,,,,,,Refer fa?ade condition reports (area cordoned off). Biolink project RFQ submitted and awaiting direction,"Fee proposal provided for fa?ade assessment. 
Awaiting direction on E25 Biolink project ",Glynn Clayton  / Anthony Alphonse
E26,Biological Sciences South,Biological Sciences South (E26),,Building,N/A,,2015,5,,,,UPGRADE,,1,5,LOW,,,,,Low,No issues identified,,,,,,,,,,
F08,Law Building,Law Building,,Building,N/A,,2008,1,,,,RC FRAME,,1,1,,,,,,Low,No issues identified,,,,,,,,,,
F10,June Griffith / Chemical Sciences Building,Chemical Sciences Building,,Building,,,1969,5,,,,RC FRAME,,3,15,HIGH,,N/A,,,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Ongoing work - refer TTW fa?ade condition report, parapet stabilisation, exhaust duct repairs.
Drone survey for ducts awaiting CASA approcal","Fa?ade and Structural Report issued.
Exhaust Duct Repair Advice.
Advice requested on parapet stabilisation.  ",Brady Clementson / Daniel Kirris
F10,June Griffith / Chemical Sciences Extension,Chemical Sciences Building,2003-031306,Building,2003,,2003,1,TTW,S101-S102,,RC/STEELWORK,,2,2,,,N/A,,,,#N/A,,,,,,,,,Previous fa?ade reports provided for reference. ,
F12,Dalton Building,Dalton Building (F12),,Building,,,1971,5,BRUECHLE GILCHRIST EVANS,S1 - S22,,RC RIBBED SLAB,,3,15,HIGH,,N/A,,Precast,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,"Staining, mortar joint repairs",,
F13,Science Theatre,Science Theatre,,Building,N/A,,1971,5,STANLEY & LLEWELLYN,,,CONCRETE & STEELWORK,,3,15,HIGH,,N/A,,"Cladding panels, glass",High,Potential failures identified and require rectification,,,,,,,,"Foundation undermined (NE), Failing soffits, Window frmae corrosion, cracked sills, loose flashing, panels cracked in corners.",Proposal for Fa?ade Audit issued 13/3/24 ,Dean Walker 
F17,Rex Vowels Theatre,Rex Vowels Theatre,,Theatre,N/A,1970,1970,5,,,,CONCRETE / STEEL ROOF,,3,15,HIGH,,,,Brick,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Landscape maintenance,,
